SA2_CODE_2021,C21_F_Health_15_19,C21_F_Health_20_24,C21_F_Health_25_34,C21_F_Health_35_44,C21_F_Health_45_54,C21_F_Health_55_64,C21_F_Health_65_74,C21_F_Health_75_84,C21_F_Health_85over,C21_F_Health_Tot,C21_F_Educ_15_19,C21_F_Educ_20_24,C21_F_Educ_25_34,C21_F_Educ_35_44,C21_F_Educ_45_54,C21_F_Educ_55_64,C21_F_Educ_65_74,C21_F_Educ_75_84,C21_F_Educ_85over,C21_F_Educ_Tot,C21_F_MngtCom_15_19,C21_F_MngtCom_20_24,C21_F_MngtCom_25_34,C21_F_MngtCom_35_44,C21_F_MngtCom_45_54,C21_F_MngtCom_55_64,C21_F_MngtCom_65_74,C21_F_MngtCom_75_84,C21_F_MngtCom_85over,C21_F_MngtCom_Tot,C21_F_Soc_cult_15_19,C21_F_Soc_cult_20_24,C21_F_Soc_cult_25_34,C21_F_Soc_cult_35_44,C21_F_Soc_cult_45_54,C21_F_Soc_cult_55_64,C21_F_Soc_cult_65_74,C21_F_Soc_cult_75_84,C21_F_Soc_cult_85over,C21_F_Soc_cult_Tot,C21_F_Creative_art_15_19,C21_F_Creative_art_20_24,C21_F_Creative_art_25_34,C21_F_Creative_art_35_44,C21_F_Creative_art_45_54,C21_F_Creative_art_55_64,C21_F_Creative_art_65_74,C21_F_Creative_art_75_84,C21_F_Creative_art_85over,C21_F_Creative_art_Tot,C21_F_FoodHos_PS_15_19,C21_F_FoodHos_PS_20_24,C21_F_FoodHos_PS_25_34,C21_F_FoodHos_PS_35_44,C21_F_FoodHos_PS_45_54,C21_F_FoodHos_PS_55_64,C21_F_FoodHos_PS_65_74,C21_F_FoodHos_PS_75_84,C21_F_FoodHos_PS_85over,C21_F_FoodHos_PS_Tot,C21_F_MixFld_pr_15_19,C21_F_MixFld_pr_20_24,C21_F_MixFld_pr_25_34,C21_F_MixFld_pr_35_44,C21_F_MixFld_pr_45_54,C21_F_MixFld_pr_55_64,C21_F_MixFld_pr_65_74,C21_F_MixFld_pr_75_84,C21_F_MixFld_pr_85over,C21_F_MixFld_pr_Tot,C21_F_FldStu_ID_15_19,C21_F_FldStu_ID_20_24,C21_F_FldStu_ID_25_34,C21_F_FldStu_ID_35_44,C21_F_FldStu_ID_45_54,C21_F_FldStu_ID_55_64,C21_F_FldStu_ID_65_74,C21_F_FldStu_ID_75_84,C21_F_FldStu_ID_85over,C21_F_FldStu_ID_Tot,C21_F_FldStu_NS_15_19,C21_F_FldStu_NS_20_24,C21_F_FldStu_NS_25_34,C21_F_FldStu_NS_35_44,C21_F_FldStu_NS_45_54,C21_F_FldStu_NS_55_64,C21_F_FldStu_NS_65_74,C21_F_FldStu_NS_75_84,C21_F_FldStu_NS_85over,C21_F_FldStu_NS_Tot,C21_F_Tot_15_19,C21_F_Tot_20_24,C21_F_Tot_25_34,C21_F_Tot_35_44,C21_F_Tot_45_54,C21_F_Tot_55_64,C21_F_Tot_65_74,C21_F_Tot_75_84,C21_F_Tot_85over,C21_F_Tot_Tot,C11_P_NatPhy_sci_15_19,C11_P_NatPhy_sci_20_24,C11_P_NatPhy_sci_25_34,C11_P_NatPhy_sci_35_44,C11_P_NatPhy_sci_45_54,C11_P_NatPhy_sci_55_64,C11_P_NatPhy_sci_65_74,C11_P_NatPhy_sci_75_84,C11_P_NatPhy_sci_85over,C11_P_NatPhy_sci_Tot,C11_P_InfTec_15_19,C11_P_InfTec_20_24,C11_P_InfTec_25_34,C11_P_InfTec_35_44,C11_P_InfTec_45_54,C11_P_InfTec_55_64,C11_P_InfTec_65_74,C11_P_InfTec_75_84,C11_P_InfTec_85over,C11_P_InfTec_Tot,C11_P_EngRT_15_19,C11_P_EngRT_20_24,C11_P_EngRT_25_34,C11_P_EngRT_35_44,C11_P_EngRT_45_54,C11_P_EngRT_55_64,C11_P_EngRT_65_74,C11_P_EngRT_75_84,C11_P_EngRT_85over,C11_P_EngRT_Tot,C11_P_ArchBuild_15_19,C11_P_ArchBuild_20_24,C11_P_ArchBuild_25_34,C11_P_ArchBuild_35_44,C11_P_ArchBuild_45_54,C11_P_ArchBuild_55_64,C11_P_ArchBuild_65_74,C11_P_ArchBuild_75_84,C11_P_ArchBuild_85over,C11_P_ArchBuild_Tot,C11_P_AgEnv_RS_15_19,C11_P_AgEnv_RS_20_24,C11_P_AgEnv_RS_25_34,C11_P_AgEnv_RS_35_44,C11_P_AgEnv_RS_45_54,C11_P_AgEnv_RS_55_64,C11_P_AgEnv_RS_65_74,C11_P_AgEnv_RS_75_84,C11_P_AgEnv_RS_85over,C11_P_AgEnv_RS_Tot,C11_P_Health_15_19,C11_P_Health_20_24,C11_P_Health_25_34,C11_P_Health_35_44,C11_P_Health_45_54,C11_P_Health_55_64,C11_P_Health_65_74,C11_P_Health_75_84,C11_P_Health_85over,C11_P_Health_Tot,C11_P_Educ_15_19,C11_P_Educ_20_24,C11_P_Educ_25_34,C11_P_Educ_35_44,C11_P_Educ_45_54,C11_P_Educ_55_64,C11_P_Educ_65_74,C11_P_Educ_75_84,C11_P_Educ_85over,C11_P_Educ_Tot,C11_P_MngtCom_15_19,C11_P_MngtCom_20_24,C11_P_MngtCom_25_34,C11_P_MngtCom_35_44,C11_P_MngtCom_45_54,C11_P_MngtCom_55_64,C11_P_MngtCom_65_74,C11_P_MngtCom_75_84,C11_P_MngtCom_85over,C11_P_MngtCom_Tot,C11_P_Soc_cult_15_19,C11_P_Soc_cult_20_24,C11_P_Soc_cult_25_34,C11_P_Soc_cult_35_44,C11_P_Soc_cult_45_54,C11_P_Soc_cult_55_64,C11_P_Soc_cult_65_74,C11_P_Soc_cult_75_84,C11_P_Soc_cult_85over,C11_P_Soc_cult_Tot,C11_P_Creative_art_15_19,C11_P_Creative_art_20_24,C11_P_Creative_art_25_34,C11_P_Creative_art_35_44,C11_P_Creative_art_45_54,C11_P_Creative_art_55_64,C11_P_Creative_art_65_74,C11_P_Creative_art_75_84,C11_P_Creative_art_85over,C11_P_Creative_art_Tot
801011001,0,4,15,15,12,20,12,8,3,102,0,0,4,20,12,19,27,12,4,106,0,3,26,36,35,22,10,6,0,146,0,3,34,42,48,44,25,18,7,230,0,3,7,15,8,9,3,0,0,44,0,0,9,0,0,3,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,3,0,6,0,20,3,4,0,7,5,7,12,7,5,53,6,34,112,175,161,154,117,73,23,848,0,13,17,23,40,28,27,10,4,166,3,5,18,24,20,11,4,0,0,85,0,3,12,18,15,18,23,20,4,115,0,4,7,0,9,3,8,4,0,39,0,4,3,9,11,0,9,4,0,41,0,0,18,13,30,23,12,10,0,105,0,5,11,20,29,38,27,11,6,141,0,9,32,59,35,28,21,8,3,188,0,19,52,61,77,62,48,16,0,347,0,9,10,17,17,12,0,0,0,66
801011002,0,83,192,59,20,19,16,12,7,407,0,20,80,44,17,19,31,23,11,240,6,97,399,137,48,41,21,21,13,775,6,104,261,111,67,35,19,13,6,628,0,15,81,31,11,3,7,0,3,157,5,14,47,13,9,3,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,5,18,5,6,0,0,0,0,43,4,37,98,32,16,12,8,8,9,228,16,475,1437,491,223,147,116,95,56,3060,0,25,75,21,16,6,7,0,0,158,0,17,132,43,25,9,4,0,0,230,5,17,83,26,16,16,13,22,3,199,0,14,12,11,6,9,8,0,0,61,0,4,12,6,0,0,4,0,0,26,0,19,76,26,18,10,0,9,6,163,0,9,53,20,21,24,18,10,0,156,8,97,259,80,39,32,20,9,5,554,3,72,233,97,42,27,20,17,5,517,0,25,50,23,13,9,0,0,0,122
801011003,7,76,136,45,20,34,20,13,9,360,3,24,58,37,27,21,41,27,11,248,10,67,180,123,63,51,31,15,9,551,4,94,204,108,45,49,38,21,6,575,0,27,55,29,13,3,0,0,3,130,4,11,24,11,7,4,0,5,3,73,0,5,0,0,0,0,0,0,0,7,0,9,6,11,7,0,4,3,0,40,16,39,46,18,6,10,8,7,10,165,57,417,877,465,245,215,175,95,51,2597,0,32,75,28,27,35,12,0,0,215,6,38,146,59,45,7,3,0,0,307,0,21,94,39,37,38,14,14,3,266,0,14,21,15,6,9,5,0,0,81,0,12,15,4,9,5,3,3,0,50,0,43,99,38,37,27,8,18,4,266,4,21,58,25,26,37,22,10,4,207,10,167,284,113,86,57,30,13,5,762,13,99,237,90,73,70,33,12,5,634,0,37,71,14,7,5,3,0,0,146
801011004,0,5,26,21,17,5,12,0,0,88,3,3,19,33,14,18,8,8,0,99,0,0,44,44,37,19,11,3,4,170,0,10,40,44,38,29,18,0,4,182,0,0,7,19,9,4,0,3,0,39,4,8,13,15,9,4,4,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,10,6,6,15,10,12,7,8,3,0,66,10,33,190,207,142,94,72,24,6,781,0,0,6,13,10,5,0,0,0,36,0,0,25,25,11,9,0,0,0,72,0,4,30,35,18,18,15,5,0,140,0,5,23,15,10,18,3,3,0,83,0,0,10,11,0,9,4,0,0,33,4,11,17,20,12,9,4,0,0,65,0,3,23,18,16,19,12,0,0,92,9,21,67,50,22,38,16,3,0,222,5,11,54,48,36,24,6,3,0,189,0,9,23,18,4,4,9,0,0,60
801011005,0,6,19,23,20,17,22,3,5,109,0,0,27,23,15,25,27,23,0,132,0,7,26,28,38,26,23,9,3,154,0,7,53,70,62,45,38,21,4,302,0,0,21,18,21,4,8,3,0,78,0,0,3,7,0,6,0,5,0,28,0,0,0,4,0,0,0,0,0,4,0,0,0,0,4,4,3,0,0,11,0,0,9,12,4,9,9,0,5,55,7,28,195,222,208,161,150,77,21,1059,0,3,42,56,43,40,26,6,0,223,3,5,32,32,26,7,0,0,0,109,0,6,13,30,27,15,22,10,0,122,0,5,9,14,9,11,6,9,0,61,0,4,9,19,12,5,4,0,0,52,0,0,18,23,16,23,16,11,0,105,0,4,25,25,24,34,29,6,3,151,0,21,59,69,43,35,32,9,8,266,0,15,91,104,69,78,43,18,3,424,0,10,21,27,8,10,6,0,0,86
801011006,0,15,58,56,65,28,25,4,0,254,0,11,50,68,51,26,18,12,0,231,0,15,74,157,136,59,38,8,0,491,4,11,75,106,90,48,20,4,0,357,0,4,12,33,9,12,4,0,0,66,7,11,25,32,25,4,4,4,0,117,0,0,0,0,0,0,0,0,0,3,0,5,4,15,7,3,0,0,0,36,12,8,19,18,30,16,4,5,0,114,34,85,345,520,449,226,119,38,5,1829,0,0,35,34,35,16,8,0,0,133,5,13,83,67,37,13,0,0,0,223,3,21,82,99,55,38,14,11,4,327,0,6,39,50,29,7,6,5,0,148,0,3,6,14,9,9,0,0,0,48,0,8,57,63,43,26,11,5,0,214,0,5,75,73,34,30,19,0,0,231,3,43,229,230,118,78,26,0,0,728,5,25,164,121,61,33,12,6,0,434,0,8,55,27,16,7,0,0,0,123
801011007,0,7,45,37,29,26,27,3,5,180,0,8,36,37,43,23,24,5,0,172,8,7,65,80,73,59,42,12,0,349,0,15,79,69,74,50,31,11,4,340,0,4,22,21,16,6,8,0,0,79,3,9,18,19,5,11,0,3,0,77,0,0,0,0,0,0,0,0,0,0,3,3,0,3,11,3,3,0,0,27,10,9,11,13,4,15,11,3,0,70,26,73,300,335,303,222,152,46,8,1471,0,3,17,44,37,24,8,0,0,136,3,4,56,47,35,13,3,0,0,168,0,9,55,79,78,58,29,7,0,317,0,17,37,31,19,24,12,0,0,142,3,5,20,23,7,10,0,0,0,61,0,10,27,39,33,31,5,5,0,155,0,14,37,56,34,42,16,5,0,197,3,42,147,148,111,91,30,5,0,580,3,27,100,104,86,84,27,3,0,434,0,14,44,27,10,13,0,0,0,113
801011008,0,15,36,49,23,33,18,0,0,172,0,4,20,29,19,20,27,10,0,130,7,21,80,74,46,59,26,12,0,312,0,8,55,80,49,57,32,3,0,291,0,6,18,18,4,4,6,0,0,56,5,11,21,10,10,8,4,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,3,0,0,18,0,4,17,15,15,13,7,5,3,84,11,78,273,304,216,221,137,44,11,1287,0,15,40,43,39,21,3,6,0,159,5,14,57,40,45,14,3,0,0,187,3,13,44,53,62,46,19,14,0,259,0,14,17,13,11,13,11,6,0,82,0,0,7,9,5,4,5,3,0,33,0,14,22,39,48,32,16,8,0,171,0,5,43,27,38,28,10,9,0,161,3,41,108,98,106,57,21,7,0,451,3,23,101,86,88,68,29,3,3,414,0,9,37,18,13,5,3,0,0,90
801011009,0,9,19,24,18,18,24,8,0,126,0,5,31,25,23,33,25,9,0,147,0,6,29,54,48,28,26,12,0,204,0,11,40,57,38,37,26,7,0,221,0,3,7,13,9,8,3,0,0,43,11,7,16,10,8,7,4,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,0,3,0,13,4,5,6,10,9,6,13,3,0,58,20,60,169,221,194,150,129,46,3,993,0,6,16,18,23,35,16,0,0,110,0,3,13,24,26,3,6,0,0,85,0,3,28,35,39,53,20,10,3,200,0,7,15,27,16,10,10,0,0,91,0,0,9,5,9,3,5,0,0,33,0,4,18,21,19,24,11,0,0,103,0,3,8,26,29,32,19,4,0,126,4,13,56,74,62,59,28,0,3,308,4,10,58,67,56,66,22,5,0,277,0,7,25,23,17,3,3,5,0,77
801011010,0,6,8,7,11,22,9,10,0,70,0,0,6,14,25,17,14,3,0,90,0,0,17,44,36,22,17,4,0,135,0,0,12,27,23,22,26,5,0,124,0,0,3,3,0,0,6,0,0,26,3,4,9,3,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,9,0,0,6,6,4,5,0,4,0,17,5,17,68,129,127,98,90,28,3,553,0,0,7,12,14,22,0,0,0,59,3,4,9,12,12,11,6,0,0,53,0,4,14,26,21,32,10,3,0,117,0,4,11,10,15,11,5,0,0,56,0,0,5,5,0,8,0,0,0,24,0,3,8,13,29,20,6,0,0,77,0,0,9,19,21,31,15,4,0,101,0,9,41,37,35,50,16,0,4,198,0,6,34,37,28,30,16,3,0,170,0,11,8,9,3,9,0,0,0,45
801011011,0,0,30,31,16,28,13,8,0,122,0,0,33,23,15,10,20,0,0,111,4,5,36,69,35,26,23,4,0,206,0,9,39,49,37,34,33,8,0,211,0,3,10,22,10,6,7,0,0,59,5,3,10,9,9,4,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,0,0,0,0,15,4,9,9,13,7,5,11,7,0,59,10,32,202,243,168,129,136,36,5,959,0,3,23,28,18,20,9,0,0,100,0,8,27,39,25,18,6,0,0,118,0,9,37,39,29,44,19,4,0,170,0,15,26,19,19,18,7,0,0,100,0,0,9,8,13,4,0,0,0,36,0,0,10,17,31,28,7,0,0,102,0,7,28,26,31,35,14,5,0,135,0,27,81,63,66,68,11,5,0,325,0,26,71,61,46,63,20,5,0,301,0,15,35,13,13,8,0,0,0,81
801011012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801011013,0,16,18,17,18,25,21,14,0,119,0,0,11,19,27,24,29,24,5,137,4,6,32,32,45,25,18,14,8,181,0,11,30,51,38,33,34,27,4,235,0,4,17,8,7,11,6,3,0,53,4,5,3,6,6,5,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,5,0,0,0,17,4,3,23,7,8,7,3,5,0,61,10,44,162,166,172,152,131,98,15,953,0,7,10,24,25,34,20,4,0,129,0,4,27,27,13,14,0,0,0,97,0,0,20,31,22,29,29,13,0,147,0,5,6,10,6,5,8,6,0,49,0,5,4,7,4,6,4,0,0,33,0,0,33,21,27,21,21,11,0,132,0,5,8,28,27,40,29,17,4,166,0,14,56,67,46,61,31,11,6,290,0,16,56,56,79,90,51,15,8,368,0,10,32,15,11,8,6,0,0,84
801011014,0,6,31,20,21,15,5,8,0,106,0,0,19,23,15,21,16,14,0,109,6,5,52,55,30,18,10,10,0,189,0,6,43,51,36,32,21,6,4,201,0,3,13,12,15,3,7,0,0,41,0,6,7,19,11,4,0,0,0,47,0,0,0,0,0,0,0,3,0,8,0,0,4,4,4,0,0,0,0,11,4,0,9,9,6,5,7,3,0,51,13,36,205,211,153,111,82,50,10,866,0,0,31,23,19,9,10,0,0,97,0,4,27,30,14,7,4,0,0,93,0,13,32,48,33,19,38,13,0,186,0,10,21,21,15,15,11,4,0,96,0,0,14,20,5,7,3,0,0,36,0,3,19,26,18,11,6,0,0,84,0,11,20,24,30,23,17,0,0,118,3,6,72,58,38,41,22,5,0,243,0,19,69,64,51,31,25,3,0,264,0,5,16,19,6,5,3,0,0,59
801011015,0,17,72,45,39,22,18,12,8,242,0,4,53,44,24,23,31,16,3,203,3,19,100,78,69,39,35,18,6,361,0,22,78,98,58,40,29,13,10,354,0,4,33,26,8,5,4,0,0,78,4,5,35,11,11,6,10,0,0,77,0,0,0,0,0,0,0,0,0,9,0,3,7,8,0,5,3,4,0,32,3,8,24,17,16,5,15,9,3,103,16,91,449,384,264,153,152,80,28,1616,0,6,34,32,12,13,10,3,0,101,0,6,44,35,15,12,6,0,0,115,0,6,50,50,38,48,27,14,4,233,0,8,27,25,15,23,16,11,0,120,0,0,10,23,9,3,4,0,0,51,0,7,34,29,30,32,20,7,4,162,0,3,36,37,25,44,30,8,3,179,3,24,126,112,70,72,41,10,3,463,8,34,119,85,71,51,36,11,3,420,0,14,35,26,11,8,3,6,0,91
801011016,0,18,48,43,29,33,51,22,5,252,0,7,33,43,48,53,65,17,4,273,5,24,83,100,92,73,66,16,0,454,5,25,98,120,69,87,53,17,0,478,0,10,23,35,15,8,6,4,0,98,4,7,21,18,12,10,14,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,8,13,7,5,3,0,0,40,6,8,25,19,21,15,30,7,9,139,20,103,403,471,338,331,323,104,24,2108,0,11,40,53,54,56,10,4,0,231,3,14,74,57,53,35,8,0,0,245,0,23,66,86,85,96,36,23,5,413,0,18,38,24,22,42,14,0,0,169,0,8,12,15,17,14,5,0,0,70,0,11,36,29,58,70,23,3,4,240,0,15,36,43,77,88,28,3,0,291,10,69,174,168,150,144,43,5,0,756,4,42,131,141,136,121,40,9,5,633,0,21,67,29,22,13,6,0,0,154
801011017,0,3,30,17,22,24,14,0,3,116,0,0,22,31,25,20,22,8,0,130,0,6,48,64,61,24,31,11,0,243,0,0,41,68,42,27,31,5,0,218,0,0,11,20,10,3,5,0,0,53,0,7,19,16,7,10,3,0,0,65,0,0,0,0,0,0,3,0,0,4,0,0,3,4,0,3,4,0,0,13,5,6,16,10,6,8,12,4,3,74,13,37,224,255,198,138,136,37,7,1036,0,5,14,17,12,14,8,0,0,76,0,4,23,29,12,7,3,0,0,83,0,10,41,40,46,48,14,14,3,220,0,15,31,29,17,14,8,3,0,115,0,3,10,16,5,3,0,0,0,43,0,7,22,25,23,26,6,5,0,115,0,5,30,33,24,33,26,8,0,154,0,17,76,70,63,52,29,9,3,315,0,21,63,49,49,47,22,11,4,257,0,6,33,8,16,9,0,3,0,73
801011018,0,28,71,27,9,0,0,0,0,140,0,11,30,21,3,5,0,0,0,73,0,37,118,49,22,16,6,0,0,247,0,20,86,33,14,0,0,0,0,153,0,10,25,4,0,0,0,0,0,48,0,10,16,7,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,6,7,3,0,0,0,0,0,15,4,25,41,17,8,3,4,0,0,95,5,155,448,197,75,38,19,0,0,934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801011019,0,11,80,65,30,32,15,12,0,248,0,6,52,94,36,25,23,14,0,252,4,20,126,165,79,51,30,3,0,480,6,17,95,137,70,47,35,8,0,414,0,4,23,21,18,4,3,5,0,77,3,9,27,33,16,9,5,3,0,104,0,0,0,0,0,0,0,0,0,0,0,0,8,9,14,0,5,0,0,39,3,12,24,28,7,8,13,7,0,99,15,88,482,613,306,195,142,61,6,1907,0,3,43,38,23,23,13,3,0,134,5,13,88,48,18,8,3,0,0,179,0,22,81,65,48,54,33,7,4,306,5,23,39,23,14,15,12,6,0,131,0,5,29,19,11,4,5,0,0,66,0,17,59,39,32,26,12,4,0,194,0,4,81,48,33,33,12,0,0,212,7,49,252,121,63,61,19,3,0,576,4,28,184,104,65,51,24,4,0,467,0,13,52,21,14,11,0,3,0,115
