SA2_CODE_2021,C21_F_Tot_Em_Tot,C21_F_Tot_Unem_Look_FT,C21_F_Tot_Unem_Look_PT,C21_F_Tot_Unem_Tot,C21_F_Tot_Tot_labo_for,C21_F_Tot_Not_LF,C21_F_Tot_LF_NS,C21_F_Tot_Tot,C11_P_15_19_Em_FT,C11_P_15_19_Em_PT,C11_P_15_19_Em_AFW,C11_P_15_19_Em_Hrs_NS,C11_P_15_19_Em_Tot,C11_P_15_19_Unem_Look_FT,C11_P_15_19_Unem_Look_PT,C11_P_15_19_Unem_Tot,C11_P_15_19_Tot_LF,C11_P_15_19_Not_LF,C11_P_15_19_LF_NS,C11_P_15_19_Tot,C11_P_20_24_Em_FT,C11_P_20_24_Em_PT,C11_P_20_24_Em_AFW,C11_P_20_24_Em_Hrs_NS,C11_P_20_24_Em_Tot,C11_P_20_24_Unem_Look_FT,C11_P_20_24_Unem_Look_PT,C11_P_20_24_Unem_Tot,C11_P_20_24_Tot_LF,C11_P_20_24_Not_LF,C11_P_20_24_LF_NS,C11_P_20_24_Tot,C11_P_25_29_Em_FT,C11_P_25_29_Em_PT,C11_P_25_29_Em_AFW,C11_P_25_29_Em_Hrs_NS,C11_P_25_29_Em_Tot,C11_P_25_29_Unem_Look_FT,C11_P_25_29_Unem_Look_PT,C11_P_25_29_Unem_Tot,C11_P_25_29_Tot_LF,C11_P_25_29_Not_LF,C11_P_25_29_LF_NS,C11_P_25_29_Tot,C11_P_30_34_Em_FT,C11_P_30_34_Em_PT,C11_P_30_34_Em_AFW,C11_P_30_34_Em_Hrs_NS,C11_P_30_34_Em_Tot,C11_P_30_34_Unem_Look_FT,C11_P_30_34_Unem_Look_PT,C11_P_30_34_Unem_Tot,C11_P_30_34_Tot_LF,C11_P_30_34_Not_LF,C11_P_30_34_LF_NS,C11_P_30_34_Tot,C11_P_35_39_Em_FT,C11_P_35_39_Em_PT,C11_P_35_39_Em_AFW,C11_P_35_39_Em_Hrs_NS,C11_P_35_39_Em_Tot,C11_P_35_39_Unem_Look_FT,C11_P_35_39_Unem_Look_PT,C11_P_35_39_Unem_Tot,C11_P_35_39_Tot_LF,C11_P_35_39_Not_LF,C11_P_35_39_LF_NS,C11_P_35_39_Tot,C11_P_40_44_Em_FT,C11_P_40_44_Em_PT,C11_P_40_44_Em_AFW,C11_P_40_44_Em_Hrs_NS,C11_P_40_44_Em_Tot,C11_P_40_44_Unem_Look_FT,C11_P_40_44_Unem_Look_PT,C11_P_40_44_Unem_Tot,C11_P_40_44_Tot_LF,C11_P_40_44_Not_LF,C11_P_40_44_LF_NS,C11_P_40_44_Tot,C11_P_45_49_Em_FT,C11_P_45_49_Em_PT,C11_P_45_49_Em_AFW,C11_P_45_49_Em_Hrs_NS,C11_P_45_49_Em_Tot,C11_P_45_49_Unem_Look_FT,C11_P_45_49_Unem_Look_PT,C11_P_45_49_Unem_Tot,C11_P_45_49_Tot_LF,C11_P_45_49_Not_LF,C11_P_45_49_LF_NS,C11_P_45_49_Tot,C11_P_50_54_Em_FT,C11_P_50_54_Em_PT,C11_P_50_54_Em_AFW,C11_P_50_54_Em_Hrs_NS,C11_P_50_54_Em_Tot,C11_P_50_54_Unem_Look_FT,C11_P_50_54_Unem_Look_PT,C11_P_50_54_Unem_Tot,C11_P_50_54_Tot_LF,C11_P_50_54_Not_LF,C11_P_50_54_LF_NS,C11_P_50_54_Tot,C11_P_55_59_Em_FT,C11_P_55_59_Em_PT,C11_P_55_59_Em_AFW,C11_P_55_59_Em_Hrs_NS,C11_P_55_59_Em_Tot,C11_P_55_59_Unem_Look_FT,C11_P_55_59_Unem_Look_PT,C11_P_55_59_Unem_Tot,C11_P_55_59_Tot_LF,C11_P_55_59_Not_LF,C11_P_55_59_LF_NS,C11_P_55_59_Tot,C11_P_60_64_Em_FT,C11_P_60_64_Em_PT,C11_P_60_64_Em_AFW,C11_P_60_64_Em_Hrs_NS,C11_P_60_64_Em_Tot,C11_P_60_64_Unem_Look_FT,C11_P_60_64_Unem_Look_PT,C11_P_60_64_Unem_Tot,C11_P_60_64_Tot_LF,C11_P_60_64_Not_LF,C11_P_60_64_LF_NS,C11_P_60_64_Tot,C11_P_65_69_Em_FT,C11_P_65_69_Em_PT,C11_P_65_69_Em_AFW,C11_P_65_69_Em_Hrs_NS,C11_P_65_69_Em_Tot,C11_P_65_69_Unem_Look_FT,C11_P_65_69_Unem_Look_PT,C11_P_65_69_Unem_Tot,C11_P_65_69_Tot_LF,C11_P_65_69_Not_LF,C11_P_65_69_LF_NS,C11_P_65_69_Tot,C11_P_70_74_Em_FT,C11_P_70_74_Em_PT,C11_P_70_74_Em_AFW,C11_P_70_74_Em_Hrs_NS,C11_P_70_74_Em_Tot,C11_P_70_74_Unem_Look_FT,C11_P_70_74_Unem_Look_PT,C11_P_70_74_Unem_Tot,C11_P_70_74_Tot_LF,C11_P_70_74_Not_LF,C11_P_70_74_LF_NS,C11_P_70_74_Tot,C11_P_75over_Em_FT,C11_P_75over_Em_PT,C11_P_75over_Em_Aw_fr_w,C11_P_75over_Emp_H_wor_ns,C11_P_75over_Em_Tot,C11_P_75over_Unem_Lo_ft_wor,C11_P_75over_Unem_Lo_pt_wor,C11_P_75over_Unemp_Tot,C11_P_75over_Tot_lab_for,C11_P_75over_N_lab_forc,C11_P_75over_LF_NS,C11_P_75over_Tot,C11_P_Tot_Em_FT,C11_P_Tot_Em_PT,C11_P_Tot_Em_AFW,C11_P_Tot_Em_Hrs_NS,C11_P_Tot_Em_Tot,C11_P_Tot_Unem_Look_FT,C11_P_Tot_Unem_Look_PT,C11_P_Tot_Unem_Tot,C11_P_Tot_Tot_labo_for,C11_P_Tot_Not_LF,C11_P_Tot_LF_NS,C11_P_Tot_Tot,C16_P_15_19_Em_FT,C16_P_15_19_Em_PT,C16_P_15_19_Em_AFW,C16_P_15_19_Em_Hrs_NS,C16_P_15_19_Em_Tot,C16_P_15_19_Unem_Look_FT,C16_P_15_19_Unem_Look_PT,C16_P_15_19_Unem_Tot,C16_P_15_19_Tot_LF,C16_P_15_19_Not_LF,C16_P_15_19_LF_NS,C16_P_15_19_Tot,C16_P_20_24_Em_FT,C16_P_20_24_Em_PT,C16_P_20_24_Em_AFW,C16_P_20_24_Em_Hrs_NS,C16_P_20_24_Em_Tot,C16_P_20_24_Unem_Look_FT,C16_P_20_24_Unem_Look_PT,C16_P_20_24_Unem_Tot,C16_P_20_24_Tot_LF,C16_P_20_24_Not_LF,C16_P_20_24_LF_NS,C16_P_20_24_Tot
801011001,655,5,16,26,682,376,32,1090,5,53,0,6,67,5,4,8,75,86,11,171,50,50,5,4,105,0,8,10,112,33,13,154,85,20,6,0,110,4,4,7,117,8,10,136,63,22,6,0,96,0,0,0,99,16,5,117,83,32,16,0,139,0,0,0,144,13,5,160,81,39,5,0,130,0,4,4,134,14,9,154,107,28,7,0,150,0,3,3,148,16,9,179,130,30,8,9,168,0,0,0,175,11,8,193,72,31,6,0,107,0,0,0,107,25,9,136,50,23,7,0,84,0,0,0,84,57,10,152,14,22,0,0,41,0,0,0,41,99,10,153,3,12,0,0,13,0,0,0,13,89,8,114,6,0,0,0,5,0,0,0,5,203,13,225,752,369,79,25,1221,11,19,38,1260,663,119,2033,8,36,0,0,49,0,6,6,57,83,3,146,43,52,5,0,95,3,5,6,104,36,6,148
801011002,2589,91,65,151,2742,997,178,3923,21,67,8,10,107,7,19,28,134,78,41,253,271,187,27,0,479,12,23,41,520,134,113,766,492,103,18,9,616,11,12,21,642,99,104,844,355,63,25,3,438,14,10,21,459,76,68,599,177,40,7,0,232,6,0,12,244,28,29,301,115,25,18,0,159,8,0,9,174,31,19,223,93,20,8,3,129,10,4,10,138,35,25,203,79,24,0,0,105,4,4,6,116,19,14,145,52,19,3,0,76,3,0,3,83,40,15,134,30,18,7,3,55,0,4,3,59,57,8,119,7,6,0,0,21,0,0,0,21,76,10,104,0,0,0,0,5,0,0,0,5,78,8,93,4,0,0,0,4,0,0,0,4,193,85,283,1697,578,114,22,2420,82,81,159,2579,947,537,4074,16,64,5,8,100,3,29,33,131,111,7,248,298,277,19,17,614,31,70,101,715,470,89,1273
801011003,2434,38,100,135,2567,858,114,3541,46,163,25,0,240,3,45,47,285,203,164,659,371,430,65,9,868,11,69,79,953,356,376,1681,561,142,28,8,736,16,14,27,762,122,97,983,312,50,27,5,392,10,3,13,402,74,44,517,214,36,12,8,274,4,3,8,281,28,26,333,140,44,8,0,195,0,0,0,197,19,13,233,147,27,8,5,187,3,0,5,196,20,18,232,165,30,13,0,200,5,4,8,211,26,6,244,130,34,4,0,168,3,0,5,171,47,15,235,64,36,8,0,112,0,0,0,113,70,13,188,14,14,0,3,28,0,0,0,27,92,3,122,4,6,0,0,12,0,0,0,12,82,5,100,0,6,0,0,6,0,0,0,6,174,95,268,2183,1006,188,43,3414,52,137,195,3607,1305,878,5793,19,148,14,17,199,4,40,40,239,227,52,516,299,442,45,60,847,21,71,93,934,544,144,1625
801011004,741,11,26,36,778,426,45,1251,31,51,3,3,88,4,16,14,105,74,24,194,94,52,5,8,155,3,0,6,162,27,18,210,142,40,13,9,197,6,9,13,206,38,16,260,152,54,17,5,227,4,3,3,227,53,17,297,153,45,14,5,208,4,5,6,219,41,18,276,116,39,9,6,163,0,0,3,167,42,12,217,92,21,4,4,120,3,0,6,130,23,12,164,95,28,6,4,131,3,0,9,133,34,11,177,79,30,9,0,119,0,0,0,119,46,14,176,50,25,4,3,87,0,0,0,85,56,3,152,22,8,0,0,31,0,0,0,31,73,3,109,0,0,3,0,3,0,0,0,0,63,3,71,0,0,0,0,0,0,0,0,0,81,0,85,1016,399,81,32,1532,27,31,65,1592,635,156,2379,26,48,0,0,77,4,13,16,97,71,5,172,80,58,4,0,142,11,4,12,155,30,11,198
801011005,809,9,18,27,842,435,44,1321,13,41,0,3,55,6,8,12,65,59,0,128,76,58,3,0,138,7,4,10,150,33,5,183,103,44,4,0,145,7,0,7,153,24,4,183,131,43,15,0,190,4,0,0,190,18,16,230,134,69,15,0,216,0,3,5,225,23,9,254,157,43,11,0,212,6,3,5,220,25,0,243,101,39,5,3,147,5,0,13,160,11,4,174,113,42,9,5,163,4,0,3,166,23,5,198,91,29,3,0,126,0,0,5,131,43,7,172,51,28,5,0,90,0,7,7,94,59,0,160,14,20,0,0,39,0,0,0,43,103,9,150,3,10,0,0,14,0,0,0,14,114,3,131,0,7,0,0,8,0,0,0,8,166,17,194,993,464,72,14,1546,35,30,65,1611,704,85,2401,4,38,0,0,51,0,10,12,64,61,3,125,33,58,0,0,91,6,6,11,101,35,3,135
801011006,1960,31,41,75,2028,714,81,2829,65,140,12,3,218,6,26,35,251,208,11,481,204,94,9,0,313,14,7,20,336,50,16,403,408,79,36,4,524,10,8,18,544,59,16,615,468,113,33,3,613,10,0,10,624,81,13,719,448,133,31,9,622,10,8,8,631,72,20,726,393,99,33,11,531,8,0,9,541,58,16,609,310,67,10,8,401,3,8,12,410,35,9,455,239,56,20,0,317,8,0,8,322,39,9,373,159,35,14,0,210,0,3,7,215,67,4,284,83,29,8,0,123,0,0,0,122,115,10,248,12,15,0,0,29,0,0,0,34,78,3,114,3,4,0,0,4,0,0,0,4,91,3,111,0,0,0,0,0,0,0,0,0,102,5,108,2798,861,195,45,3906,70,56,129,4038,1058,137,5232,49,160,12,0,223,7,33,43,272,186,26,481,179,128,11,10,329,10,8,24,348,52,14,413
801011007,1431,16,24,39,1472,646,49,2166,46,110,10,7,175,8,21,26,198,155,6,363,161,98,15,9,283,5,3,11,296,47,7,350,256,64,17,0,340,13,5,13,360,38,6,402,245,62,33,5,346,3,0,10,355,42,3,404,277,99,17,5,394,6,3,10,399,49,4,456,277,72,13,14,373,13,0,11,384,41,13,438,238,53,13,5,315,3,5,9,318,25,3,353,230,66,19,0,318,8,0,8,322,40,5,369,180,59,21,0,265,0,0,4,268,84,7,357,123,54,14,3,194,5,0,3,195,193,12,392,26,31,0,0,52,0,0,0,52,112,6,176,5,9,0,0,12,0,0,0,12,81,0,99,0,0,0,0,4,0,0,0,4,121,12,140,2068,775,181,49,3074,65,33,97,3176,1020,90,4285,29,117,0,5,153,10,20,27,183,132,15,338,145,103,3,0,250,12,10,20,270,46,26,346
801011008,1208,23,23,46,1249,730,56,2038,35,151,5,3,201,4,19,24,218,175,12,408,165,137,17,6,319,13,14,24,347,64,12,421,219,52,12,6,289,10,3,18,305,54,14,377,199,61,15,0,278,3,3,10,286,50,19,353,180,79,11,4,271,6,5,12,280,57,14,351,179,60,13,5,265,5,5,6,270,40,10,325,245,70,9,4,322,8,0,5,334,50,11,388,237,79,26,5,344,8,7,10,357,46,12,414,168,49,8,0,229,9,5,15,245,90,9,344,86,45,7,0,141,0,3,0,139,121,8,269,16,13,3,0,32,0,0,0,39,131,4,172,8,7,0,0,11,0,0,0,11,93,6,106,0,3,0,0,4,0,0,0,4,177,12,192,1724,809,129,36,2705,65,59,125,2833,1142,143,4112,22,103,6,7,132,10,16,22,155,133,5,299,119,116,10,6,249,13,11,27,277,76,20,376
801011009,900,11,25,33,936,460,33,1434,29,80,7,0,123,3,14,21,143,87,20,245,97,70,4,3,176,5,0,3,180,24,14,222,125,35,6,4,166,4,0,4,171,16,14,204,135,44,10,0,193,5,0,5,192,25,16,236,160,51,11,6,224,0,0,3,230,34,18,281,163,46,8,0,216,5,3,8,221,17,21,264,129,50,4,3,181,5,0,4,185,23,26,233,161,44,6,3,215,3,0,3,221,25,22,267,122,42,8,4,177,0,0,8,182,50,17,249,90,43,10,0,143,3,0,4,147,109,13,272,23,18,3,0,41,0,0,0,45,135,20,198,3,6,0,0,7,0,0,0,7,75,8,90,0,0,0,0,3,0,0,0,3,92,11,98,1240,526,94,18,1877,26,26,54,1932,705,224,2857,19,71,0,4,99,0,11,15,114,91,4,214,80,58,0,0,143,5,4,10,150,20,5,177
801011010,495,6,11,15,510,302,14,825,20,54,7,3,83,0,5,5,85,54,7,141,70,50,3,0,124,0,0,5,131,27,0,156,59,15,10,0,88,3,0,3,89,16,0,109,82,23,20,0,120,4,0,4,129,16,3,151,85,40,4,0,127,0,0,0,129,14,6,145,81,38,0,0,121,0,0,0,122,20,4,143,80,25,8,5,116,0,0,4,119,10,0,129,81,23,13,0,116,0,5,5,117,20,4,137,79,41,10,0,129,0,0,0,135,53,4,193,60,41,5,0,99,0,0,0,99,86,0,187,15,17,0,0,31,0,0,0,31,66,0,90,0,5,0,0,6,0,0,0,6,39,0,43,0,0,0,0,0,0,0,0,0,51,0,53,711,359,79,19,1167,17,19,28,1199,466,25,1690,9,46,3,0,60,0,11,6,69,50,7,129,43,31,4,0,80,3,4,6,85,8,3,96
801011011,829,10,16,28,856,457,35,1350,22,59,4,0,89,4,11,14,105,73,0,186,138,76,12,6,223,9,10,16,243,48,10,298,138,49,11,0,199,5,0,7,207,27,7,236,161,61,21,5,251,6,3,9,255,28,13,297,129,43,12,4,181,3,0,3,190,35,9,229,137,42,13,0,194,5,0,4,201,13,0,215,137,39,8,0,185,0,0,3,187,14,3,209,150,31,8,7,192,0,5,5,200,23,7,229,129,54,9,10,199,5,3,4,205,62,13,277,86,42,12,5,137,0,0,0,139,95,4,238,16,20,3,0,34,0,0,3,32,83,8,124,3,3,0,0,4,0,0,0,4,61,3,76,3,0,0,0,3,0,0,0,3,86,6,93,1245,519,103,26,1898,40,37,74,1969,653,93,2711,12,41,0,0,48,0,18,25,75,73,7,152,82,63,3,5,156,5,6,16,172,35,10,216
801011012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801011013,734,6,21,23,757,483,42,1279,12,60,6,0,84,4,8,13,93,76,14,180,80,53,0,4,135,6,3,9,144,30,21,200,111,27,6,8,151,5,0,5,156,25,16,198,87,31,9,3,127,3,0,3,133,25,10,167,110,38,11,4,164,7,0,8,175,24,7,204,118,39,7,0,168,0,0,4,174,17,0,192,110,32,5,0,156,3,0,3,155,21,4,184,115,35,4,0,158,4,0,4,160,18,6,192,84,26,7,0,121,0,0,3,121,33,3,157,66,38,11,0,112,0,4,0,120,123,3,241,24,21,3,0,50,0,3,3,53,128,5,191,3,16,0,0,21,0,0,0,21,105,5,126,6,0,0,0,6,0,0,0,6,167,6,176,944,410,70,27,1452,30,31,58,1507,789,97,2401,8,64,9,0,80,5,11,10,94,88,0,176,53,70,4,0,127,7,0,5,136,38,13,186
801011014,817,6,19,30,843,460,27,1339,20,62,8,7,94,3,9,10,112,70,0,186,71,31,8,4,117,7,6,15,128,23,0,151,157,41,8,0,210,0,8,9,214,28,0,242,130,49,16,3,208,0,6,5,211,29,0,241,170,57,15,0,247,9,0,6,255,33,0,292,130,46,9,0,186,3,3,9,198,26,10,232,122,37,8,3,171,3,0,3,178,21,5,209,110,21,8,3,146,3,0,7,148,17,4,172,54,16,7,0,82,0,0,0,84,47,0,134,39,33,0,0,77,0,5,5,77,96,4,177,13,19,0,0,35,0,0,0,35,134,11,181,0,3,0,0,13,0,0,0,13,95,4,105,0,4,0,0,4,0,0,0,4,101,8,119,1034,427,98,32,1591,32,31,69,1658,727,60,2440,8,53,0,0,66,3,15,18,81,78,15,170,69,56,5,9,138,6,11,13,151,31,5,197
801011015,1440,29,33,62,1501,814,77,2387,37,98,8,3,146,0,18,20,167,80,15,262,166,74,9,0,242,3,0,3,248,41,21,315,241,38,17,3,300,6,0,12,311,52,12,371,269,82,20,3,380,5,5,9,393,56,16,462,251,68,23,0,341,9,0,12,353,48,19,424,181,59,19,3,262,6,0,5,267,44,6,316,159,41,8,3,211,6,0,6,219,32,6,255,145,43,13,3,198,0,0,0,201,27,6,230,107,37,9,3,158,4,0,5,160,59,12,231,83,60,12,3,165,0,8,4,171,163,9,339,17,34,0,0,51,0,0,0,54,181,14,243,0,11,0,0,8,0,0,0,8,125,4,138,0,0,0,0,0,0,0,0,0,240,75,314,1660,639,143,28,2475,45,36,81,2554,1138,224,3913,13,65,6,0,82,6,19,23,106,104,5,223,94,68,10,3,172,11,17,20,199,26,24,244
801011016,1786,22,50,66,1852,1136,100,3088,54,149,12,6,226,10,21,29,255,208,8,472,278,176,20,16,495,15,11,25,514,129,19,661,300,92,26,6,426,7,11,20,442,54,12,509,289,103,25,5,420,7,3,13,431,64,7,505,246,110,32,10,398,10,8,12,407,51,10,463,299,121,19,12,449,4,13,14,464,47,9,525,295,105,22,8,433,5,0,4,433,43,9,490,351,91,21,5,463,7,0,8,471,56,19,548,308,107,26,4,447,0,0,0,452,170,13,632,145,84,20,6,252,4,0,6,257,258,6,523,33,39,0,0,66,0,0,0,74,193,10,267,5,13,6,0,20,0,0,0,20,159,10,187,0,8,0,0,7,0,0,0,7,253,11,266,2595,1202,218,91,4106,72,63,130,4239,1679,139,6060,40,156,0,3,208,11,28,32,237,182,18,434,136,179,18,5,339,9,31,48,386,133,22,538
801011017,960,12,19,30,997,501,52,1551,33,75,8,0,109,6,12,19,136,77,8,214,126,70,4,4,203,9,0,9,212,42,4,257,156,37,12,0,206,4,6,10,215,36,7,257,171,47,16,0,238,0,0,6,241,33,3,271,166,75,13,7,261,5,3,7,269,28,9,310,145,51,4,3,203,5,0,4,212,18,6,238,148,28,7,6,190,4,0,4,195,16,7,224,142,40,8,0,199,4,0,0,202,24,13,236,111,38,13,0,166,0,3,3,168,54,0,225,63,49,15,0,123,0,0,0,122,126,10,258,12,18,0,0,37,0,0,0,37,130,7,175,3,5,0,0,6,0,0,0,6,90,7,106,0,5,0,0,5,0,0,0,5,125,15,134,1286,539,106,29,1956,39,36,70,2026,796,94,2909,24,60,3,0,94,10,13,18,114,87,13,215,67,56,0,6,126,9,8,20,145,25,7,179
801011018,899,14,16,31,932,157,82,1177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,8,3,4,13,0,0,0,0,0,0,0,0,5,7,0,11
801011019,1876,31,47,73,1951,740,61,2755,48,98,4,3,158,14,21,35,195,123,7,318,259,90,9,8,369,10,14,23,391,33,12,437,474,95,25,6,603,14,0,16,613,63,19,694,415,112,34,4,565,16,0,17,579,61,21,664,315,81,18,3,416,5,4,5,420,40,16,478,216,59,7,0,283,7,3,9,285,38,12,338,166,43,6,0,213,4,0,0,224,30,6,257,174,38,12,0,227,0,0,4,228,25,7,261,111,53,11,3,187,0,0,0,185,79,3,266,79,57,8,0,144,4,0,3,148,119,6,275,10,18,0,0,40,0,0,0,40,136,5,179,4,8,0,0,11,0,0,0,11,77,8,93,0,0,0,0,0,0,0,0,0,74,6,84,2285,745,145,38,3209,73,45,122,3326,893,124,4342,33,105,3,4,150,11,22,30,185,126,5,315,187,133,13,8,341,16,9,25,369,52,10,430
