801041116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,17,4,0,0,0,4,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,8,24,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801041117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801041118,200,0,4,6,204,56,6,272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,15,0,0,17,0,0,4,14,14,0,30,23,7,0,0,28,0,0,0,29,4,0,43
801041119,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801041120,1323,35,34,73,1394,379,84,1853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4
801041121,539,11,7,24,564,202,39,809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801041122,611,11,19,31,638,173,28,834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801051049,821,8,132,143,960,322,281,1566,0,131,17,0,153,0,58,63,214,191,28,429,10,306,28,3,349,9,104,113,460,468,71,998,16,72,4,3,93,4,23,21,116,166,25,310,8,26,4,0,32,0,12,12,46,64,7,115,3,5,0,0,10,0,0,0,13,32,0,52,0,0,0,0,0,0,0,0,9,17,0,23,0,4,0,0,0,0,0,0,0,8,0,12,5,0,0,0,4,0,0,0,4,0,0,7,0,0,0,0,0,0,0,0,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,553,52,3,657,14,201,211,869,945,139,1955,0,179,19,58,253,3,150,150,406,301,44,754,8,217,24,72,313,13,75,82,400,376,37,810
801051050,1413,11,34,54,1462,867,86,2415,22,95,11,4,131,4,9,13,148,99,9,254,110,139,12,7,266,0,11,13,278,89,18,388,222,70,6,3,305,3,0,5,312,42,17,367,177,67,19,0,269,3,4,3,267,39,12,325,219,65,24,6,311,7,0,6,311,44,16,374,200,87,15,4,312,8,0,11,318,54,14,388,233,79,12,4,329,8,0,10,335,39,11,389,218,43,21,5,282,8,3,11,296,52,22,371,159,63,12,0,237,3,0,0,243,76,16,335,59,41,3,0,106,0,4,5,112,110,18,240,13,18,0,0,36,0,0,0,36,93,18,148,0,9,0,0,12,0,0,0,9,116,9,143,0,6,0,0,7,0,0,0,7,429,98,540,1645,786,134,35,2605,36,46,81,2688,1294,271,4248,13,115,3,3,130,5,20,23,148,140,17,310,91,128,3,4,226,9,13,22,251,79,13,338
801051051,2365,46,34,80,2440,446,141,3027,10,64,3,0,77,3,26,33,107,103,13,226,264,215,11,3,494,8,58,64,566,244,74,880,721,103,23,4,845,17,13,32,877,113,117,1106,360,62,22,0,445,3,4,11,452,73,73,594,183,41,17,0,237,9,5,13,247,45,52,343,134,23,9,0,169,0,0,0,171,28,31,231,88,21,7,0,122,9,0,6,131,29,21,171,91,23,9,0,119,0,0,0,124,26,19,170,57,13,6,0,81,4,0,4,89,44,18,142,44,21,3,0,74,0,0,6,74,52,15,146,11,11,0,0,20,0,0,0,22,49,18,88,0,7,0,0,7,0,0,0,7,45,17,74,0,0,0,0,9,0,0,0,9,100,16,121,1966,606,114,14,2700,58,110,168,2867,940,480,4291,12,67,7,24,114,3,54,54,173,139,37,345,253,264,21,23,555,16,51,65,622,255,95,976
801051053,1439,35,75,110,1549,520,271,2343,4,84,3,0,92,0,65,64,157,180,38,374,114,227,15,5,357,9,97,101,462,478,102,1042,239,49,3,3,292,8,8,16,310,73,45,427,170,18,10,0,199,3,5,6,201,33,35,278,99,13,3,3,122,0,4,4,127,9,18,151,59,3,0,0,64,0,0,0,63,9,13,89,49,5,0,0,58,0,4,3,64,3,11,77,57,13,5,0,77,0,0,0,80,10,11,101,39,6,3,0,53,4,0,4,54,17,13,84,35,17,0,0,51,0,0,0,51,15,9,76,3,5,3,0,13,0,0,0,13,14,0,27,0,0,0,0,7,0,0,0,7,6,0,11,0,0,0,0,3,0,0,0,3,24,4,32,873,450,58,9,1394,23,180,204,1599,876,295,2767,8,108,20,28,165,0,112,110,277,327,16,619,93,236,20,52,404,15,101,108,512,835,74,1423
801051054,1101,13,22,41,1141,287,58,1484,8,33,0,0,46,4,3,9,55,46,0,99,104,83,3,4,192,5,5,8,203,59,8,277,165,37,7,3,208,3,0,0,210,28,18,256,128,37,12,0,171,10,0,13,183,25,17,222,84,30,11,4,129,0,0,0,127,21,7,152,68,26,7,0,98,0,4,5,105,22,10,131,73,17,12,0,104,0,0,0,107,14,4,124,67,24,0,0,89,5,0,3,92,25,6,126,55,12,5,0,65,0,3,3,67,20,7,91,19,15,6,0,37,0,0,0,40,42,5,84,6,8,0,0,14,0,0,0,14,38,3,52,0,4,0,0,4,0,0,0,3,67,0,70,0,4,0,0,3,0,0,0,3,129,7,141,773,327,52,17,1167,24,19,50,1219,529,93,1836,3,33,6,3,42,0,10,11,50,49,8,110,69,114,9,0,192,6,14,22,212,55,10,286
801051055,1201,14,31,45,1252,519,69,1843,18,62,9,0,86,9,14,12,102,86,6,192,96,109,3,5,215,4,6,9,230,66,14,310,188,56,14,6,253,11,11,21,273,37,19,331,167,61,16,3,251,10,0,10,259,37,14,314,162,56,17,7,234,8,5,10,241,28,14,288,158,65,13,3,241,4,0,4,250,34,17,298,137,39,7,3,187,4,0,4,188,30,15,231,104,43,9,5,154,0,0,5,159,39,0,196,73,44,9,0,122,4,0,0,131,43,6,175,41,20,0,0,66,0,0,0,66,73,7,141,17,11,5,0,29,0,0,0,27,78,8,116,6,7,0,0,13,0,0,0,13,91,4,108,0,4,0,4,10,0,0,0,10,235,10,257,1164,581,89,27,1866,39,35,81,1943,876,134,2951,8,60,0,0,66,5,14,18,80,95,8,181,100,115,4,4,221,10,15,30,243,80,20,348
801051056,863,7,21,25,886,429,40,1352,16,48,6,0,71,0,7,10,82,57,0,141,65,56,3,0,121,3,8,7,132,29,4,163,95,27,3,5,134,3,0,10,141,20,4,173,108,43,15,4,165,7,0,8,168,30,0,199,129,62,14,0,206,4,4,6,218,31,5,247,145,51,15,3,211,3,0,4,210,13,5,225,126,36,20,0,179,7,0,7,182,17,6,204,130,34,10,0,177,0,0,4,175,25,3,203,97,29,7,5,132,0,0,3,134,29,0,163,41,19,4,0,72,4,0,4,75,67,3,143,17,11,4,0,24,0,0,0,29,86,5,118,0,7,0,0,9,0,0,0,9,115,3,122,0,3,0,0,3,0,0,0,3,238,8,249,959,432,94,17,1503,31,30,58,1561,749,47,2354,10,49,4,0,61,0,7,6,65,62,0,128,44,61,8,3,115,4,9,17,130,31,9,170
801051057,1735,20,34,54,1786,741,136,2666,10,66,7,0,84,3,9,13,101,84,10,197,170,145,20,8,341,9,13,21,363,64,56,484,348,77,12,7,445,4,4,10,452,58,30,547,258,51,18,7,329,4,4,15,340,59,35,443,153,55,12,0,226,7,3,7,234,43,22,301,129,62,11,7,214,7,0,10,221,41,23,282,151,44,10,4,208,5,0,7,214,56,22,286,142,42,13,0,198,4,4,5,210,58,28,291,147,41,5,0,194,0,3,3,202,88,21,303,55,32,13,0,106,4,0,5,110,89,15,216,14,21,0,0,38,0,0,0,38,103,21,163,0,3,0,0,7,0,0,0,7,80,15,106,0,3,0,0,4,0,0,0,4,304,78,387,1593,637,125,38,2399,62,40,97,2495,1126,381,3998,9,54,0,0,55,3,21,24,81,95,7,188,182,160,12,3,355,12,24,38,390,107,25,520
801051058,1694,34,31,63,1753,744,62,2561,15,81,9,3,111,0,19,16,123,152,9,285,149,209,16,3,385,8,30,37,421,113,16,551,286,67,17,4,377,6,5,13,387,64,24,479,221,68,31,0,320,10,3,15,333,44,21,396,199,88,28,0,313,0,4,10,321,54,8,387,227,102,12,3,349,3,3,8,357,47,18,427,229,68,11,0,311,9,0,6,318,42,10,370,238,74,12,0,322,4,4,7,331,37,10,379,137,54,10,0,207,5,3,14,215,69,15,298,69,48,5,0,121,0,0,0,126,83,9,219,13,25,0,0,35,0,0,0,38,101,9,138,3,7,0,0,10,0,0,0,10,85,13,109,3,4,0,0,9,0,0,0,9,291,17,324,1795,896,154,24,2871,51,76,130,3001,1173,181,4353,15,103,6,6,123,4,20,21,144,132,10,286,158,272,20,3,452,8,29,33,487,129,31,642
801051060,1593,28,32,56,1647,460,69,2176,7,26,0,0,42,0,8,6,46,49,11,104,218,141,19,8,384,11,15,22,408,88,65,559,536,94,15,6,648,11,7,8,659,53,67,780,266,41,11,4,327,3,0,6,336,29,32,397,165,33,16,3,215,0,3,8,224,26,28,271,123,23,10,0,160,3,0,3,164,28,19,211,106,19,4,6,134,0,3,4,136,30,19,192,138,22,11,0,172,5,3,5,177,27,9,210,67,12,6,0,85,0,5,5,91,34,5,132,45,25,6,0,74,0,4,4,77,67,9,165,14,11,0,0,34,0,0,0,29,67,10,107,4,5,0,0,7,0,0,0,10,67,9,82,0,0,0,0,8,0,0,0,8,107,19,129,1704,459,93,24,2276,43,48,85,2361,677,290,3336,0,24,4,0,26,3,3,7,33,61,16,109,162,182,17,7,364,8,32,43,410,170,78,654
801051061,2064,20,23,45,2106,628,98,2839,17,63,9,0,86,5,16,23,107,117,8,228,196,89,12,10,312,8,20,31,334,66,17,417,411,81,18,6,514,9,0,6,523,56,28,609,322,73,41,9,441,9,8,9,454,42,21,517,261,84,29,6,369,0,3,7,373,60,25,459,232,84,22,8,340,0,3,4,347,42,20,403,223,70,13,0,307,5,0,5,315,27,10,355,199,45,12,0,256,5,0,4,263,36,15,314,109,42,10,0,168,0,0,0,167,46,0,216,53,30,3,0,83,0,0,0,86,73,0,166,8,12,0,0,24,0,0,0,24,93,10,132,9,7,0,0,14,0,0,0,14,125,4,147,0,6,0,0,10,0,0,0,10,230,18,255,2042,681,169,34,2925,42,53,95,3021,1020,181,4224,23,98,3,0,127,4,26,25,153,132,12,296,154,144,8,4,313,8,13,18,327,63,23,418
801051123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801051124,1308,19,22,35,1348,562,63,1967,8,53,11,6,76,0,5,5,81,70,6,157,126,97,15,0,237,6,9,13,254,48,17,318,140,37,7,4,190,10,0,10,202,40,14,257,124,20,13,0,154,8,6,12,167,17,9,196,107,24,16,0,149,3,7,13,159,30,18,210,135,28,9,0,173,4,4,9,184,38,16,231,161,31,12,5,207,3,0,6,212,29,9,248,156,32,0,0,196,4,0,7,197,30,9,235,112,33,9,0,155,0,5,8,160,39,9,209,56,35,3,0,94,3,3,4,103,69,7,182,25,32,0,0,59,0,0,0,59,61,7,126,0,8,0,0,14,0,0,0,14,73,5,88,0,10,0,0,14,0,0,0,14,287,16,312,1146,455,95,17,1712,42,38,76,1792,833,145,2764,3,53,0,0,59,0,13,13,70,67,5,140,71,98,0,0,175,4,16,22,195,51,6,259
801051125,435,0,0,3,439,43,91,573,337,56,0,6,403,0,0,0,403,50,13,465,573,68,9,10,657,0,0,0,657,50,41,754,110,17,7,6,134,0,0,0,135,11,11,150,62,5,7,0,78,0,0,0,77,5,3,94,36,3,0,0,42,6,0,6,45,4,0,46,27,3,0,0,34,0,0,0,34,5,0,37,11,0,0,0,11,0,0,0,11,0,0,11,4,0,0,0,5,0,0,0,5,0,0,5,5,0,0,0,5,0,0,0,5,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1173,150,20,32,1372,6,0,3,1374,129,78,1580,315,30,0,6,349,0,0,0,349,15,14,378,621,66,0,17,706,0,0,0,708,50,49,805
801051126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801051127,406,7,6,17,419,204,34,666,10,24,4,0,38,0,3,5,38,32,3,81,55,41,7,0,107,5,6,13,120,43,20,181,96,28,3,3,126,0,4,6,133,21,24,176,44,13,5,0,60,11,5,10,75,25,20,122,29,7,4,0,45,5,0,11,48,17,12,83,44,18,3,0,63,4,0,7,70,19,16,102,62,14,10,0,87,6,0,6,94,29,11,131,63,14,3,0,77,0,4,5,86,23,10,118,50,20,0,4,73,0,5,3,83,37,9,122,23,13,0,0,40,5,0,5,47,33,8,88,5,14,0,0,19,0,3,3,20,58,4,80,4,0,0,0,10,0,0,0,10,26,3,36,4,0,0,0,5,0,0,0,5,75,7,85,491,208,47,13,757,34,30,64,819,436,144,1401,3,26,0,0,28,4,8,10,44,20,5,67,45,48,13,4,100,4,9,15,121,40,14,170
801051128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801061062,778,8,15,21,801,552,65,1415,11,40,7,0,57,0,7,6,61,123,7,195,51,43,4,0,102,6,4,10,108,15,6,135,100,30,3,7,139,4,0,3,143,9,8,162,81,19,5,0,103,3,0,0,113,15,11,133,80,35,13,5,120,0,4,5,127,19,9,149,114,40,6,5,163,0,0,0,167,20,3,191,118,29,3,4,156,4,0,4,157,15,4,180,129,35,15,3,183,4,0,4,185,16,7,207,104,27,14,0,139,0,0,0,140,37,17,189,65,39,4,0,113,3,0,3,111,64,11,187,19,28,3,0,53,0,0,0,53,82,0,134,4,10,0,0,14,0,0,0,14,71,0,90,5,7,0,0,8,0,0,0,8,314,20,346,880,370,75,30,1348,20,17,36,1383,804,94,2288,9,51,5,0,65,4,16,16,81,136,3,216,40,36,0,0,75,3,3,3,77,27,3,109
801061063,519,4,10,18,539,295,27,856,5,25,0,0,29,0,3,9,42,54,0,97,40,18,0,0,63,0,7,10,68,17,5,93,83,14,3,3,97,0,0,0,102,4,18,126,37,16,0,0,53,0,0,0,53,6,4,66,59,10,3,0,69,0,0,0,74,3,8,84,64,25,4,0,93,0,4,4,93,6,7,104,69,17,0,0,92,0,0,0,92,13,6,112,79,22,8,0,106,3,0,3,108,8,8,116,82,29,4,0,108,4,0,4,111,16,14,139,58,15,5,0,76,0,0,5,77,19,5,102,20,13,3,0,38,0,0,0,38,39,4,85,9,3,0,0,16,0,0,0,16,22,0,37,0,8,0,0,6,0,0,0,6,75,12,94,614,205,41,4,858,18,13,29,884,293,82,1266,9,22,0,0,28,0,0,0,31,55,3,89,40,24,3,0,61,0,4,4,64,10,13,90
801061064,1578,20,22,47,1624,658,84,2370,12,82,5,0,100,3,6,8,113,94,8,209,157,67,11,0,228,5,8,11,238,34,16,297,314,42,21,0,389,8,3,10,402,32,17,448,201,35,17,0,256,3,4,10,265,32,14,310,144,28,9,0,176,0,0,0,183,27,15,224,171,36,15,0,232,4,0,0,237,33,24,285,170,54,14,3,248,13,4,16,259,37,16,308,198,37,20,4,253,3,3,5,264,44,24,328,127,41,10,0,182,0,3,3,181,43,18,242,93,38,16,0,149,6,0,6,151,87,4,246,22,22,3,0,56,0,0,3,64,93,3,154,6,9,0,0,16,0,0,0,16,74,3,92,0,10,0,0,10,0,0,0,12,221,15,251,1627,507,134,19,2292,51,40,84,2378,834,189,3391,4,58,3,0,73,0,13,16,89,111,6,206,136,60,3,0,197,6,5,13,210,27,19,255
801061066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801061067,1607,29,31,65,1669,916,204,2790,31,91,3,0,120,9,13,20,138,165,10,311,166,79,11,6,260,12,13,25,277,54,14,350,294,47,18,4,371,8,4,7,381,48,16,443,235,51,28,0,315,3,6,9,328,36,4,371,258,99,20,0,377,9,3,8,389,41,19,453,277,69,22,3,371,5,3,8,382,64,23,470,282,77,13,3,371,15,6,14,388,53,8,450,259,62,7,0,333,6,3,7,341,59,10,412,156,48,17,3,221,4,9,10,237,81,17,333,98,45,12,0,147,6,0,3,149,82,6,248,19,21,0,0,43,0,3,3,45,121,3,173,4,7,0,0,12,0,0,0,12,129,11,154,3,4,0,0,9,0,0,0,12,480,37,528,2082,696,148,25,2955,69,55,122,3078,1418,180,4672,18,91,5,5,118,5,26,36,152,190,16,362,101,94,3,9,207,11,13,22,225,33,16,274
801061068,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
